,0,1,2,3,4,5,6,7,8,9,10,11,12,13,year
0,0.635,0.11,0.405,85.65,-30.467,0.0,1.0,0.35,0.0,0.38299999999999995,0.93,0.0,999827.0,0.0,1940
1,0.41100000000000003,0.0293,0.434,126.52,-17.105,1.0,0.0,0.8390000000000001,2.96e-06,0.154,0.0354,0.0,83427.0,0.0,1949
2,0.23199999999999998,0.275,0.18,80.77,-12.099,1.0,0.0,0.991,0.355,0.0888,0.0357,0.0,208507.0,0.0,1949
3,0.233,0.23399999999999999,0.10400000000000001,172.519,-13.440999999999999,1.0,0.0,0.941,0.0,0.188,0.0349,0.0,206560.0,0.0,1949
4,0.22699999999999998,0.255,0.142,100.04799999999999,-12.037,1.0,5.0,0.871,0.000221,0.11900000000000001,0.0354,0.0,206827.0,0.0,1949
5,0.446,0.105,0.657,89.318,-15.442,1.0,7.0,0.889,0.0,0.171,0.0459,0.0,77267.0,0.0,1949
6,0.58,0.237,0.528,158.097,-13.165999999999999,1.0,4.0,0.8190000000000001,0.0,0.413,0.1,0.0,207733.0,1.0,1949
7,0.716,0.147,0.39399999999999996,78.423,-14.787,1.0,10.0,0.9209999999999999,0.000164,0.349,0.133,0.0,122133.0,0.0,1949
8,0.49,0.12,0.633,85.397,-17.87,1.0,2.0,0.9590000000000001,0.000256,0.11199999999999999,0.0625,0.0,212907.0,0.0,1949
9,0.662,0.376,0.44799999999999995,129.915,-11.475999999999999,1.0,4.0,0.941,1.19e-06,0.15,0.0871,0.0,216893.0,0.0,1949
10,0.285,0.0724,0.0968,168.263,-15.286,1.0,2.0,0.9059999999999999,0.00303,0.102,0.0381,0.0,146293.0,0.0,1949
11,0.602,0.22,0.503,99.73299999999999,-14.669,1.0,0.0,0.925,6.89e-06,0.21,0.0737,0.0,212427.0,0.0,1949
12,0.402,0.486,0.298,86.92299999999999,-10.940999999999999,1.0,10.0,0.434,0.0,0.9790000000000001,0.0487,0.0,557987.0,43.0,1950
13,0.365,0.348,0.196,126.71600000000001,-12.455,1.0,11.0,0.516,0.0,0.461,0.0402,0.0,804640.0,26.0,1950
14,0.51,0.637,0.392,128.311,-8.787,0.0,1.0,0.517,0.0,0.8109999999999999,0.0471,0.0,258707.0,25.0,1950
15,0.5920000000000001,0.8909999999999999,0.64,117.338,-7.237,1.0,7.0,0.139,1.4e-06,0.977,0.0668,0.0,305147.0,24.0,1950
16,0.302,0.528,0.151,129.092,-9.093,1.0,7.0,0.6779999999999999,0.0,0.578,0.0397,0.0,292000.0,13.0,1950
17,0.56,0.863,0.35100000000000003,126.083,-8.876,0.0,5.0,0.0156,7.81e-06,0.835,0.0829,0.0,285200.0,13.0,1950
18,0.6779999999999999,0.409,0.7490000000000001,111.98899999999999,-14.811,1.0,11.0,0.987,0.0015400000000000001,0.6559999999999999,0.0961,0.0,195867.0,0.0,1950
