,id,direct_influence_num,indirect_influence_num,different_genre_num,max_year_period,influencer_active_start
0,,,,,,
1,1055285.0,7.0,7.0,0.0,20.0,1990.0
2,1055285.0,7.0,7.0,0.0,20.0,1990.0
3,1055285.0,7.0,7.0,0.0,20.0,1990.0
4,1055285.0,7.0,7.0,0.0,20.0,1990.0
5,1055285.0,7.0,7.0,0.0,20.0,1990.0
6,1055285.0,7.0,7.0,0.0,0.0,1990.0
7,1055285.0,7.0,7.0,0.0,0.0,1990.0
8,485135.0,16.0,38.0,0.0,20.0,1990.0
9,485135.0,16.0,38.0,0.0,20.0,1990.0
10,485135.0,16.0,38.0,0.0,20.0,1990.0
11,485135.0,16.0,38.0,0.0,20.0,1990.0
12,485135.0,16.0,38.0,0.0,20.0,1990.0
13,485135.0,16.0,38.0,0.0,20.0,1990.0
14,485135.0,16.0,38.0,0.0,0.0,1990.0
15,485135.0,16.0,38.0,0.0,20.0,1990.0
16,485135.0,16.0,38.0,0.0,20.0,1990.0
17,485135.0,16.0,38.0,0.0,20.0,1990.0
18,485135.0,16.0,38.0,0.0,20.0,1990.0
19,485135.0,16.0,38.0,0.0,20.0,1990.0
20,485135.0,16.0,38.0,0.0,20.0,1990.0
21,485135.0,16.0,38.0,0.0,20.0,1990.0
22,485135.0,16.0,38.0,0.0,20.0,1990.0
23,485135.0,16.0,38.0,0.0,20.0,1990.0
24,919282.0,2.0,27.0,0.0,20.0,1970.0
25,919282.0,2.0,27.0,0.0,20.0,1970.0
26,516929.0,9.0,7.0,0.0,20.0,1990.0
27,516929.0,9.0,7.0,0.0,20.0,1990.0
28,516929.0,9.0,7.0,0.0,20.0,1990.0
29,516929.0,9.0,7.0,0.0,20.0,1990.0
30,516929.0,9.0,7.0,0.0,20.0,1990.0
31,516929.0,9.0,7.0,0.0,20.0,1990.0
32,516929.0,9.0,7.0,0.0,20.0,1990.0
33,516929.0,9.0,7.0,0.0,0.0,1990.0
34,516929.0,9.0,7.0,0.0,0.0,1990.0
35,567190.0,17.0,242.0,0.0,30.0,1960.0
36,567190.0,17.0,242.0,0.0,30.0,1960.0
37,567190.0,17.0,242.0,0.0,40.0,1960.0
38,567190.0,17.0,242.0,0.0,30.0,1960.0
39,567190.0,17.0,242.0,0.0,30.0,1960.0
40,567190.0,17.0,242.0,0.0,30.0,1960.0
41,567190.0,17.0,242.0,0.0,30.0,1960.0
42,567190.0,17.0,242.0,0.0,30.0,1960.0
43,567190.0,17.0,242.0,0.0,30.0,1960.0
44,567190.0,17.0,242.0,0.0,30.0,1960.0
45,567190.0,17.0,242.0,0.0,30.0,1960.0
46,567190.0,17.0,242.0,0.0,30.0,1960.0
47,567190.0,17.0,242.0,0.0,40.0,1960.0
48,567190.0,17.0,242.0,0.0,50.0,1960.0
49,567190.0,17.0,242.0,0.0,30.0,1960.0
50,567190.0,17.0,242.0,0.0,30.0,1960.0
51,567190.0,17.0,242.0,0.0,30.0,1960.0
52,501081.0,14.0,74.0,0.0,20.0,1980.0
53,501081.0,14.0,74.0,0.0,20.0,1980.0
54,501081.0,14.0,74.0,0.0,20.0,1980.0
55,501081.0,14.0,74.0,0.0,20.0,1980.0
56,501081.0,14.0,74.0,0.0,20.0,1980.0
57,501081.0,14.0,74.0,0.0,30.0,1980.0
58,501081.0,14.0,74.0,0.0,20.0,1980.0
59,501081.0,14.0,74.0,0.0,20.0,1980.0
60,501081.0,14.0,74.0,0.0,20.0,1980.0
61,501081.0,14.0,74.0,0.0,20.0,1980.0
62,501081.0,14.0,74.0,0.0,20.0,1980.0
63,501081.0,14.0,74.0,0.0,20.0,1980.0
64,501081.0,14.0,74.0,0.0,30.0,1980.0
65,501081.0,14.0,74.0,0.0,20.0,1980.0
66,502163.0,15.0,201.0,16.0,10.0,1970.0
67,502163.0,15.0,201.0,16.0,10.0,1970.0
68,502163.0,15.0,201.0,16.0,20.0,1970.0
69,502163.0,15.0,201.0,16.0,20.0,1970.0
70,502163.0,15.0,201.0,16.0,10.0,1970.0
71,502163.0,15.0,201.0,16.0,20.0,1970.0
72,502163.0,15.0,201.0,16.0,10.0,1970.0
73,502163.0,15.0,201.0,16.0,20.0,1970.0
74,502163.0,15.0,201.0,16.0,10.0,1970.0
