,id,name,year,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count
0,2729330,Pham,2010,0.8240000000000001,0.5379999999999999,0.35200000000000004,110.87899999999999,-7.972,1,6,0.26,3.45e-05,0.13,0.26899999999999996,208671.0,68.0,1
1,3413218,Petit Biscuit,2010,0.7377,0.5137,0.2691,115.8155,-10.0114,1,6,0.6997,0.609279382,0.10753,0.058039999999999994,241998.6,67.7,10
2,3271457,Troye Sivan,2000,0.563666667,0.6216666670000001,0.416630769,102.30597440000001,-7.941025641,1,11,0.145839897,0.000347384,0.178574359,0.09867692300000001,207725.4872,59.64102564,39
3,2782403,Zedd,2010,0.643368421,0.7390000000000001,0.386473684,121.3365263,-4.404736842,1,7,0.154772105,0.00018946900000000003,0.151810526,0.065105263,209955.1053,69.68421053,19
4,3391646,Cheat Codes,2010,0.6435833329999999,0.7615,0.5488333329999999,121.16891670000001,-4.908583333,1,9,0.159653333,0.011091667,0.194183333,0.09865,180281.25,68.0,12
5,2393596,Avicii,2000,0.575526316,0.8017543859999999,0.461122807,125.21605259999998,-4.877421053,1,2,0.062005649,0.147839576,0.18201228100000003,0.047540350999999995,235584.9649,57.22807018,57
6,3314964,Kygo,2010,0.629630769,0.616569231,0.38596769200000003,111.79346149999999,-7.440615385,1,0,0.280833846,0.046083219,0.137303077,0.062498462000000005,235171.5846,67.84615385,65
7,791609,Benny Benassi,2000,0.6,0.7909999999999999,0.433833333,131.78766670000002,-4.056833333,0,5,0.09006333300000001,0.046218333,0.101383333,0.130783333,237088.5,57.66666667,6
8,2435745,James Blake,2000,0.577111111,0.40966666700000004,0.253305556,129.3177778,-9.796944444,0,7,0.593201444,0.237788019,0.120411111,0.110577778,220815.1111,59.66666667,18
9,1035160,Cash Cash,2000,0.582444444,0.8382222220000001,0.46455555600000004,120.06833329999999,-2.454,0,1,0.11075555599999999,5.14e-07,0.253511111,0.21137777800000002,213162.5556,60.55555556,9
10,879144,Deadmau5,2000,0.7190588240000001,0.608911765,0.374864706,127.8521176,-8.038176471,1,1,0.040605476,0.49646029399999997,0.197014706,0.071735294,361380.4706,48.23529412,34
11,2640328,Feed Me,2000,0.7165,0.903,0.5155,108.46,-4.237,1,11,0.0013015000000000001,0.04376,0.5770000000000001,0.1587,256988.5,53.0,4
12,793225,Diplo,2000,0.640405405,0.743405405,0.448027027,124.624027,-5.324216216,1,11,0.10761162199999999,0.020514766,0.198332432,0.101294595,197184.1892,67.67567568,37
13,3020237,Baauer,2010,0.452,0.794,0.282,137.825,-5.151,1,0,0.0111,0.00182,0.41600000000000004,0.0483,196664.0,59.0,2
14,2649123,Mndsgn,2000,0.797,0.67,0.748,159.891,-6.216,0,5,0.775,0.9129999999999999,0.124,0.16699999999999998,219150.0,56.0,1
15,184677,Eric Prydz,2000,0.595714286,0.8440000000000001,0.5133,126.45200000000001,-5.9435714289999995,1,10,0.002489571,0.33981999999999996,0.566571429,0.229871429,196547.1429,60.0,7
16,178301,Fat Freddy's Drop,2000,0.714666667,0.40733333299999996,0.21533333300000002,129.6836667,-11.55066667,0,9,0.032133333,0.359333333,0.1658,0.072833333,483167.0,54.0,6
17,2063135,Flosstradamus,2000,0.613,0.879,0.49700000000000005,76.96600000000001,-4.649,1,6,0.00908,1.66e-06,0.10800000000000001,0.0729,214929.0,59.0,1
18,717419,Flying Lotus,2000,0.552571429,0.7585714290000001,0.28671428600000004,94.48014286,-4.337428571,0,8,0.0692,0.018817714,0.18642857100000002,0.189514286,196279.0,51.28571429,7
19,2424501,Baths,2000,0.743,0.6990000000000001,0.7040000000000001,95.001,-6.438,1,8,0.0196,0.73,0.254,0.147,198452.0,50.0,2
20,3068662,Cashmere Cat,2000,0.60725,0.612125,0.2106,129.537625,-6.34975,0,0,0.1432,0.138007778,0.1390625,0.04405,237886.75,55.75,8
21,1717415,Hudson Mohawke,2000,0.711,0.7609999999999999,0.526,160.738,-7.267,1,6,0.598,0.127,0.134,0.233,199343.0,52.0,2
22,3308665,Karen Harding,2010,0.701,0.667,0.675,119.975,-6.1770000000000005,1,7,0.0121,6.53e-06,0.14800000000000002,0.0361,213135.0,67.0,1
23,648106,Justice,2000,0.619352941,0.819882353,0.353023529,118.07170590000001,-4.4735294119999995,1,2,0.014863706,0.383298,0.355,0.184611765,258704.4118,53.23529412,17
24,2365087,Skrillex,2000,0.599611111,0.884388889,0.397853704,136.7076296,-3.517962963,1,5,0.042232148,0.026245085,0.24062037,0.167794444,249955.2963,57.90740741,54
25,854866,Kaskade,2000,0.610666667,0.7338571429999999,0.309,127.18071429999999,-5.884571429,0,11,0.05688619,0.188523219,0.17015238100000002,0.069995238,288702.0476,51.33333333,21
26,2802487,3LAU,2010,0.5335,0.7705,0.268,115.00200000000001,-4.26,1,3,0.1013,3.46e-05,0.22699999999999998,0.0566,201705.0,58.0,2
27,2450537,Lorn,2000,0.395,0.496,0.095,55.806999999999995,-7.513,0,11,0.0165,0.662,0.433,0.0353,172473.0,59.0,2
28,388773,M.I.A.,2000,0.5573571429999999,0.8145,0.46971428600000004,146.7402857,-6.347214286,1,2,0.075718571,0.044310685,0.610285714,0.16254285699999999,218578.1429,55.85714286,14
29,2412330,Nicky Romero,2000,0.509,0.79,0.638,127.946,-3.782,0,6,0.332,6.670000000000001e-05,0.316,0.0374,208320.0,60.0,2
30,1573712,Nosaj Thing,2000,0.5535,0.4685,0.19699999999999998,80.5055,-10.915,1,1,0.2335,0.276579,0.11800000000000001,0.1772,229640.5,55.5,4
