,id,name,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count
0,85410,Billy Joe Royal,0.607666667,0.5215,0.7909999999999999,103.1005,-10.9395,1,5,0.523,1.58e-06,0.24911666699999999,0.073716667,178820.1667,29.33333333,12
1,580058,Aaron Tippin,0.652454545,0.648272727,0.594545455,113.97227269999999,-8.830818182,1,6,0.199845455,5.3200000000000006e-05,0.15897272699999998,0.030009091,198106.7273,43.0,22
2,257787,Little Big Town,0.569172414,0.657413793,0.507103448,128.7976552,-6.2014137929999995,1,9,0.337786207,3.76e-05,0.22748275899999998,0.034627586,234959.7586,56.34482759,29
3,484880,Sugarland,0.54796875,0.7230625,0.4983125,123.718125,-4.39696875,1,1,0.22982249999999999,2.54e-05,0.14225625,0.04775,233768.0,49.28125,32
4,610880,Brad Paisley,0.538842105,0.676042105,0.515894737,123.55914740000001,-7.191705262999999,1,9,0.269933474,0.0034405,0.212347368,0.036472632000000005,255381.4947,50.66315789,95
5,807869,Joe Nichols,0.5568333329999999,0.7115,0.507166667,127.66583329999999,-5.575416667000001,1,2,0.15691833300000002,0.000126914,0.25355,0.04935,210497.75,52.83333333,24
6,825883,Dierks Bentley,0.547161765,0.7374264709999999,0.526617647,127.1541618,-5.898691176,1,5,0.16128991199999998,0.00711339,0.199789706,0.042667647,222355.4118,53.08823529,68
7,868174,Rascal Flatts,0.5307731960000001,0.72571134,0.441742268,122.23940209999999,-5.308268041,1,2,0.210048454,1.3800000000000002e-05,0.16356494800000002,0.038331959,241142.1443,51.29896907,97
8,20760,Shelby Lynne,0.3645,0.205,0.17300000000000001,106.29700000000001,-11.379000000000001,1,9,0.8759999999999999,0.0,0.10435,0.04795,257053.5,1.0,4
9,791483,Dwight Yoakam,0.608336449,0.653168224,0.675121495,131.0743645,-8.862878505,1,9,0.204796056,0.042398868,0.137323364,0.041945794,208897.3551,38.24299065,107
10,1580437,Brett Young,0.590478261,0.57873913,0.47734782600000003,105.3725652,-6.661652173999999,1,10,0.277956522,0.0,0.091291304,0.034378261,211962.3043,65.13043478,23
11,936206,Alabama,0.550579439,0.471923364,0.549300935,116.422229,-12.20866355,1,7,0.26335953300000003,0.0008672080000000001,0.231711215,0.039712617,243665.3271,36.07009346,214
12,21008,Trick Pony,0.484,0.905,0.767,182.058,-3.9930000000000003,1,10,0.0936,0.0,0.28600000000000003,0.135,172000.0,44.0,2
13,21292,Shenandoah,0.63,0.5705625,0.6225625,106.1663125,-10.0956875,1,10,0.437625,1.51e-06,0.1181375,0.027275,210165.1875,41.0,32
