,id,name,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8
0,331666,Jesse Cook,1.8340400000000001,-0.5496489999999999,-1.8525200000000002,0.817018,-0.374418,-2.1858299999999997,0.16123900000000002,-1.21279
1,130922,Jai Uttal,3.0854,-1.7781900000000002,-0.581396,-1.09181,1.45425,2.3458900000000003,-1.70858,-0.615114
2,121584,Laraaji,4.97891,-4.8131699999999995,-2.85006,1.6886400000000001,1.21024,-2.31162,0.505864,0.731234
3,81836,Alex de Grassi,3.2789699999999997,-0.473339,-1.51302,0.599346,0.43711000000000005,-1.7443,-0.688317,-1.9141299999999999
4,489520,Mike Oldfield,2.23807,-4.05903,-2.73555,2.2016400000000003,1.26276,-2.06153,1.0588899999999999,0.999893
5,887638,Michael Hedges,4.93909,-0.944119,-0.9015719999999999,-0.6776300000000001,0.634035,-1.04152,-1.19925,0.041155699999999996
6,333539,Jim Brickman,2.77887,-0.8759290000000001,-0.279538,-1.05374,0.814956,-0.10817,-1.42924,-0.655039
7,826364,Liz Story,5.50126,-1.6760400000000002,-0.194966,-1.31255,-0.24725,-1.52007,-1.54031,-0.571293
8,945269,George Winston,4.61388,-1.44535,-0.32537699999999997,-0.918343,0.00156824,-0.733597,0.0557227,-0.10303499999999999
9,190012,John Tesh,4.099559999999999,-1.6779099999999998,-1.12503,-0.517637,-0.704657,1.70419,-0.502625,0.324723
10,13101,Patrick O'Hearn,5.02647,-2.6258,-2.64551,1.07794,-0.673164,-1.19254,0.42886499999999994,-0.7661819999999999
11,40501,Steve Roach,7.919239999999999,-6.95016,-4.68099,3.9550300000000003,2.2242,-3.2124900000000003,1.8461599999999998,3.8212099999999998
12,42234,Steven Halpern,6.4207,-2.47036,-1.49645,-0.0633507,1.17872,1.0086899999999999,-1.3208,0.463721
13,988471,Enya,4.13469,-1.00481,-0.20034000000000002,-1.4067399999999999,1.38469,0.417633,-0.047459100000000004,-0.692433
14,1431398,Will Ackerman,5.05839,-2.28682,-1.10351,-0.401984,-0.626826,-0.578237,-0.40012800000000004,0.7530859999999999
15,862902,Mary Youngblood,3.4773099999999997,0.26457800000000004,-0.349085,-0.757078,0.276843,0.464916,-1.46042,-0.720349
16,185440,David Lanz,4.07964,-1.9961200000000001,-0.804542,-0.26652,-0.304935,-0.763003,-0.476476,0.548528
17,375101,Philip Wesley,5.02051,-2.74887,-1.4712,-0.37596199999999996,1.07859,-1.00024,-1.2458799999999999,0.447982
18,927278,Adiemus,2.18237,-2.27037,-0.45957700000000007,-0.604055,-1.092,0.706162,-0.284756,0.0164943
19,245489,Deuter,5.65171,-3.92907,-3.06014,1.45025,0.38309,0.378835,0.414948,-0.402938
20,81017,Kitaro,4.04422,-3.5337099999999997,-2.29335,0.786259,0.698038,0.178578,-0.0846057,-0.9774950000000001
21,46345,Suzanne Ciani,2.96424,-3.9254,3.31715,1.3573600000000001,-1.42019,-0.8786299999999999,0.11680499999999999,0.975927
22,675495,Mannheim Steamroller,1.5772700000000002,-0.7770560000000001,-0.966354,0.137753,0.213657,0.994857,-0.0930676,1.2678399999999999
23,407942,Medwyn Goodall,3.8945199999999995,-1.24262,-2.19912,0.0931913,1.41464,-0.6512939999999999,-0.813441,1.19415
24,687933,Yanni,3.77072,-2.55219,0.656667,-0.600788,0.87705,-0.8590780000000001,-0.759707,0.0119285
25,585874,Acoustic Alchemy,2.06123,0.761039,-0.7733399999999999,0.405988,-0.435399,-0.4777,0.0234577,1.31103
26,286092,Philip Aaberg,6.42261,-1.47482,-2.05812,1.48196,0.765415,-0.24301999999999999,-0.578515,-1.27217
27,359555,Karunesh,2.5680400000000003,-3.3207,-1.94612,0.342596,2.0796,1.60981,-0.84393,-1.59025
28,177588,Jon Hassell,4.9071,-3.22391,-1.9666,1.67419,0.014333700000000001,-0.0956535,0.534906,-0.192523
29,308762,Penguin Cafe Orchestra,3.64799,-0.711052,-0.599142,-0.5261779999999999,-0.0147278,-1.70897,-0.740544,0.329896
30,74952,Ken Elkinson,6.4922699999999995,-0.294294,-0.5604399999999999,0.380947,-0.843933,-0.629739,0.023299900000000002,1.08033
31,818576,Deva Premal,2.04762,-2.10489,-1.34331,0.565736,0.401475,1.9262,0.0043717,1.18931
32,157377,Ottmar Liebert,0.733584,0.5526409999999999,-1.0645200000000001,0.18048,-0.57973,-1.3685100000000001,0.183837,1.4154799999999998
33,31441,Paul Winter,2.35112,-1.49383,-0.664293,-0.590083,-0.652046,-2.63302,-0.757078,-2.64525
34,143490,Cusco,-0.160949,-1.08874,1.08302,0.28475,-0.315083,-3.5394900000000002,-0.0606899,1.42146
35,4458,Parijat,4.4656400000000005,-2.3164700000000003,-1.86031,-0.09377039999999999,1.0523200000000001,-1.26935,-0.9026770000000001,0.826625
36,32045,Software,3.19998,-1.5383,-1.14961,0.411418,-0.491705,-1.1861899999999999,0.0597477,1.47413
37,774983,Krishna Das,1.2336,-3.6446699999999996,-1.36248,-0.406763,2.07376,-0.0604244,-0.792497,1.22306
